name,url,score,duration,remote,adaptive,type
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A,B,P"
District/Regional Manager Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Entry Level Cashier 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"B, P, A"
Entry Level Cashier 7.1 (International),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"A, B, P"
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"C, P"
Entry Level Customer Service 7.1 (International),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"C, P"
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"C, P"
Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"B, C, P"
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"P, B, C"
Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"C, P, B"
Event Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"S, A, B, P"
Executive - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"A, B, P"
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"A, B, P"
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"A, B, P"
Manager + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"B, C, P"
Manager + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"B, C, P"
Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"B, C"
Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"B, C, P"
Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"B, C, P"
Manager 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"B, K, P"
Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"B, K, P"
Manufacturing Production Team Member,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"A, B"
Manufacturing Skilled Maintenance Worker,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"A, B"
Network Engineer/Analyst Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"P, S, K, B, A"
Nurse Leader Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"S, A, B, P"
Nurse Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"P, A, B"
Nursing Assistant Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"A, B, P"
Personal Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"A, B, K, P, S"
Phone Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"A, B, P"
Prep/Line Cook Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, C"
Professional + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"B, C, P"
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"B, C, P"
Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"B, C"
Professional 7.1 (International),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"C, B"
Professional 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,No,"B, K, P"
Professional/Individual Contributor - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P, S"
Project Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P, S"
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,S
Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, P, S, B"
Restaurant Manager Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P, S"
Restaurant Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Retail Consultant Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Retail Manager w/ Sales Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Retail Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Sales Director Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Sales Engineer Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, K, P, S"
Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Sales Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"C, B"
Sales Professional 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"B, C"
Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Sales Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Sales Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Senior Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"A, B, P"
Senior Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Server Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"B, A, P"
Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Service Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Stock Clerk Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"A, B, P"
Store Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"B, C"
Store Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"B, C"
Store Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"C, B"
Store Manager Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,S
Supervisor 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"B, C"
Supervisor 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"B, C, P"
Supervisor 7.1 (International),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"P, C, B"
Support Associate Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Support Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, P, S, B"
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"A, B, P"
Technician/Technologist Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"C, P"
Telenurse Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P"
Teller 7.0,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"B, K, P, S"
Teller with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"A, B, K, P, S"
Transcriptionist Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, K, P"
Workplace Safety - Individual 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,B
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,B
Workplace Safety - Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,B
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"B, C, P"
Workplace Safety - Team 7.1 (International),https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"B, C, P"
Workplace Safety Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"B, P"
,,,,,,
,,,,,,
